luckhurst,(0.8755391441619378,mashrafe),(0.8739128747388201,tragedy),(0.8648149934534259,zee),(0.8587051517939283,chief),(0.8549730455409682,rafique),(0.8547675068901955,jayasuriya),(0.8543659044058163,tapash),(0.8542252786182684,malcolm),(0.8516931629600263,executive),(0.849807463879657,islam),
azharuddin,(0.4154722691005403,milss),(0.3695339273920316,wet),(0.35957680198970565,displace),(0.34546095182138153,edgy),(0.3418566466151755,bruise),(0.3354394344279875,tailender),(0.32399584140267457,complain),(0.3172251282902016,workable),(0.3122153798130675,accuse),(0.31142771613100456,alester),
kent,(0.8298010323197372,bell),(0.7871044551869097,asian),(0.786370351050363,pietersen),(0.7820018049593633,yard),(0.7819471298144252,bruyn),(0.7632672434378296,bin),(0.7617398148066883,balanced),(0.7497458397569875,defend),(0.7287283728605989,pair),(0.727483235296403,batty),
cronje,(0.6581628415014619,tolerance),(0.6513906827402531,biggest),(0.6460916871292729,rights),(0.6364265076992411,departure),(0.6344093396232703,court),(0.6329673969620971,mills),(0.6311379488142455,rahman),(0.6278844978157849,executive),(0.6264118152234047,zee),(0.6233361988702099,hotel),
rae,(0.9885185048461655,comment),(0.9880172029519448,seam),(0.9873363072204804,perth),(0.9872607161090974,week),(0.9870295158615493,fourth),(0.9864857985466692,mohali),(0.9857279557619941,squad),(0.9853566082031661,nel),(0.9853128945668977,contribute),(0.9852046519258271,ahead),
us,(0.7327402090906285,yard),(0.7285458604927252,pietersen),(0.7229395979028096,chief),(0.721123930308388,issue),(0.7209339887514312,eng),(0.7183209121067871,bin),(0.7032146101217035,price),(0.6999736896191335,mashrafe),(0.6985617444403939,bell),(0.6934342077381689,simple),
mushtaq,(0.789842009276171,habibul),(0.7894247230353685,wrap),(0.7876260351812086,successive),(0.7841511821708497,aggregate),(0.7838470929515307,week),(0.7788453825570079,nel),(0.778267588981738,without),(0.7778927684376691,cause),(0.777205880171532,fourth),(0.7764294397392701,katich),
usaca,(0.8437092423951444,deal),(0.7836408178531618,break),(0.7815409939896154,minister),(0.7732889732251267,lankan),(0.769276897605719,make),(0.7683223445165712,player),(0.7616814925818948,bowler),(0.7578811177430029,action),(0.7548660734390271,samuels),(0.7547123119879753,chanderpaul),
blain,(0.7672265845864376,reveal),(0.7661328103727059,glove),(0.7598763110939226,fan),(0.7561593030345318,collins),(0.7549138381871208,continue),(0.7542262053671753,skipper),(0.7521520630602853,much),(0.7501781193736128,degree),(0.7500622718481492,little),(0.74624964451065,home),
ind,(0.7918870526691506,fall),(0.7581294915504447,leave),(0.7468855783086479,lbw),(0.7434612168469164,kasprowicz),(0.7248104252357969,khan),(0.7084651908575775,singh),(0.6994424775159728,age),(0.6989729543617741,arm),(0.6979234755614384,muttiah),(0.6977814008858838,oust),
terrestrial,(0.9150569395608434,tv),(0.9105338122082645,television),(0.9056979486946745,keeper),(0.9030632937213335,daniel),(0.8995312351548226,hinds),(0.8956724946736261,security),(0.8857215352592622,bowler),(0.8824207920484354,bari),(0.8793641998004097,galle),(0.8783591519081664,replay),
tudor,(0.3448284432280997,observe),(0.335433395326198,broadcaster),(0.32905670187502606,lengthy),(0.3202802925745263,semi),(0.320225337351715,spread),(0.3078018136633716,quip),(0.3046477185206306,torn),(0.3031109555979936,culture),(0.30175918159211446,enjoyment),(0.29503618910953944,pushover),
coverage,(0.9230369864356915,better),(0.9221905458181757,duncan),(0.9193522649379193,probably),(0.9187354925806963,west),(0.9182968177278859,adam),(0.9175351790106833,damien),(0.9174296452541839,thursday),(0.9174156123622837,stewart),(0.916517182103764,youhana),(0.9153602726221384,martyn),
mortaza,(0.9356202014353736,bari),(0.9352389096544657,rights),(0.9295562343406863,islam),(0.9293031937696691,rahman),(0.9247846558631283,executive),(0.922486257619974,malcolm),(0.9193624855665385,tv),(0.9184898574752262,surgery),(0.9168351921983241,jayasuriya),(0.9165626601962381,sachin),
collins,(0.9787452285729645,watson),(0.974466710034324,clarke),(0.9697937851500004,paceman),(0.9692864852373776,hook),(0.9691232948305634,place),(0.9680590187953304,butt),(0.9677258201037863,force),(0.966062988039767,darren),(0.9656720842438112,lehmann),(0.9655757466553889,astle),
cremer,(0.843533339565094,darren),(0.8286683609043923,capt),(0.8272916349712284,help),(0.826551143195746,hair),(0.8264988041280016,may),(0.8260085989835925,however),(0.8248889288664333,paceman),(0.8231443849223365,collins),(0.8216164023526854,jason),(0.819621960958531,clarke),
stewart,(0.9841340750191683,period),(0.9796419816459225,pace),(0.9786507355508255,squad),(0.9783815852189561,damien),(0.9771957111507862,robert),(0.9768170797770832,herschelle),(0.9762559204625137,likely),(0.9744544745921736,pressure),(0.9739239541456494,west),(0.9738850393643043,allow),
aus,(0.9798855738154236,matthew),(0.9679440946817036,shane),(0.9653587556759813,jason),(0.9644811529306057,giles),(0.9628278113933997,oust),(0.9623982153119686,hoggard),(0.9559244646260141,stephen),(0.9544333362334013,simon),(0.9527382570322853,gillespie),(0.9500479351416692,ricky),
wilson,(0.958128218203336,mark),(0.9573074794144992,career),(0.9551269354460202,tough),(0.9548383786445922,makhaya),(0.9540141282243153,return),(0.9534072135528088,l),(0.9525144187378851,since),(0.9524126401196513,ahead),(0.951331126142799,kamran),(0.9513067838916491,gibbs),
bouncer,(0.9246212133015741,middle),(0.9175292755926345,rights),(0.9140755564692155,bari),(0.9127426284376309,surgery),(0.9113405437374025,remove),(0.9110059451984526,executive),(0.9100575821006436,speed),(0.908916808729073,tv),(0.9060374920104242,sachin),(0.9050945532351322,rotation),
popular,(0.9456846445622296,warm),(0.9428757447165682,elizabeth),(0.9424164585295682,january),(0.9423557582037969,close),(0.9409636301681739,lose),(0.9400137748395658,march),(0.9397093199888745,hold),(0.9386575561304382,port),(0.9377492495217712,stump),(0.9375431711770561,gmt),
